city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Rio Grande do Piauí,2209005,457,7103.99503,2022-02-22,0.0197,9,6433.0,6432.0,True,665,city,PI
Santa Cruz do Piauí,2209104,877,14038.73859,2022-02-22,0.0171,15,6247.0,6240.0,True,640,city,PI
Santa Cruz dos Milagres,2209153,289,7165.88148,2022-02-22,0.0069,2,4033.0,4019.0,True,599,city,PI
Santa Filomena,2209203,148,2366.48545,2022-02-22,0.027,4,6254.0,6253.0,True,632,city,PI
Santa Luz,2209302,260,4420.26522,2022-02-22,0.0308,8,5882.0,5860.0,True,654,city,PI
Santana do Piauí,2209351,270,5816.45842,2022-02-22,0.0259,7,4642.0,4634.0,True,633,city,PI
Santa Rosa do Piauí,2209377,154,2930.54234,2022-02-22,0.039,6,5255.0,5257.0,True,610,city,PI
Santo Antônio de Lisboa,2209401,125,1940.69244,2022-02-22,0.04,5,6441.0,6415.0,True,640,city,PI
Santo Antônio dos Milagres,2209450,182,8402.58541,2022-02-22,0.0165,3,2166.0,2161.0,True,620,city,PI
Santo Inácio do Piauí,2209500,282,7415.19853,2022-02-22,0.0213,6,3803.0,3798.0,True,615,city,PI
São Braz do Piauí,2209559,106,2381.48731,2022-02-22,0.1226,13,4451.0,4448.0,True,593,city,PI
São Félix do Piauí,2209609,426,14529.33151,2022-02-22,0.0094,4,2932.0,2942.0,True,600,city,PI
São Francisco de Assis do Piauí,2209658,92,1591.97093,2022-02-22,0.0326,3,5779.0,5755.0,True,636,city,PI
São Francisco do Piauí,2209708,229,3566.97819,2022-02-22,0.0437,10,6420.0,6423.0,True,664,city,PI
São Gonçalo do Gurguéia,2209757,231,7556.42787,2022-02-22,0.0216,5,3057.0,3041.0,True,610,city,PI
São Gonçalo do Piauí,2209807,469,9324.05567,2022-02-22,0.0171,8,5030.0,5015.0,True,658,city,PI
São João da Canabrava,2209856,622,13480.71088,2022-02-22,0.0129,8,4614.0,4608.0,True,645,city,PI
São João da Fronteira,2209872,267,4403.0343,2022-02-22,0.0262,7,6064.0,6042.0,True,652,city,PI
São João da Serra,2209906,431,7040.18295,2022-02-22,0.0394,17,6122.0,6139.0,True,625,city,PI
São João da Varjota,2209955,362,7466.9967,2022-02-22,0.0055,2,4848.0,4840.0,True,602,city,PI
São João do Arraial,2209971,930,11570.0423,2022-02-22,0.0108,10,8038.0,7989.0,True,630,city,PI
São João do Piauí,2210003,3440,16648.92072,2022-02-22,0.0108,37,20662.0,20601.0,True,659,city,PI
